date,combo,exposure,btc_price
2022-11-01,-0.1474615384615384,0.7,20485.2734375
2022-11-02,-0.1491581196581196,0.8,20159.50390625
2022-11-03,-0.1317863247863247,0.8,20209.98828125
2022-11-04,-0.0896659008632692,0.8,21147.23046875
2022-11-05,-0.0932969549943234,0.8,21282.69140625
2022-11-06,-0.0802969549943233,0.8,20926.486328125
2022-11-07,-0.1204024216524216,0.8,20602.81640625
2022-11-08,-0.1195690883190883,0.8,18541.271484375
2022-11-09,-0.1186972934472934,0.7,15880.7802734375
2022-11-10,-0.1119366096866096,0.7,17586.771484375
2022-11-11,-0.1045043752543752,0.7,17034.29296875
2022-11-12,-0.0995129222629222,0.7,16799.185546875
2022-11-13,-0.0940998168498168,0.7,16353.365234375
2022-11-14,-0.2442835244465679,0.7,16618.19921875
2022-11-15,-0.2564858149097279,0.7,16884.61328125
2022-11-16,-0.2565822362018015,0.9,16669.439453125
2022-11-17,-0.2571293742489395,0.9,16687.517578125
2022-11-18,-0.2630447149468888,0.9,16697.77734375
2022-11-19,-0.2488026164656599,0.9,16711.546875
2022-11-20,-0.2606122038187256,0.9,16291.83203125
2022-11-21,-0.23216044221479,0.9,15787.2841796875
2022-11-22,-0.1938896011396011,0.9,16189.76953125
2022-11-23,-0.1619444444444444,0.8,16610.70703125
2022-11-24,-0.184022792022792,0.8,16604.46484375
2022-11-25,-0.2110577570577571,0.8,16521.841796875
2022-11-26,-0.2232529785029785,0.8,16464.28125
2022-11-27,-0.2116775446775446,0.8,16444.626953125
2022-11-28,-0.1771763606763606,0.8,16217.322265625
2022-11-29,-0.177586247086247,0.8,16444.982421875
2022-11-30,-0.1977115384615384,0.9,17168.56640625
2022-12-01,-0.221378205128205,0.9,16967.1328125
2022-12-02,-0.3136324786324787,1.0,17088.66015625
2022-12-03,-0.3351239316239316,1.0,16908.236328125
2022-12-04,-0.3230512820512821,1.0,17130.486328125
2022-12-05,-0.3275641025641025,1.0,16974.826171875
2022-12-06,-0.3265769230769231,1.0,17089.50390625
2022-12-07,-0.3477008547008546,1.0,16848.126953125
2022-12-08,-0.3402222222222222,1.0,17233.474609375
2022-12-09,-0.3365897435897436,1.0,17133.15234375
2022-12-10,-0.3412820512820513,1.0,17128.724609375
2022-12-11,-0.3412435897435897,1.0,17104.193359375
2022-12-12,-0.3267264957264957,1.0,17206.4375
2022-12-13,-0.3413931623931623,1.0,17781.318359375
2022-12-14,-0.3528760683760684,1.0,17815.650390625
2022-12-15,-0.3538247863247863,1.0,17364.865234375
2022-12-16,-0.3361239316239316,1.0,16647.484375
2022-12-17,-0.3336837606837606,1.0,16795.091796875
2022-12-18,-0.3379017094017094,1.0,16757.9765625
2022-12-19,-0.3358646723646724,1.0,16439.6796875
2022-12-20,-0.3173789173789174,1.0,16906.3046875
2022-12-21,-0.329527972027972,1.0,16817.53515625
2022-12-22,-0.2946091686091686,1.0,16830.341796875
2022-12-23,-0.3308855218855218,1.0,16796.953125
2022-12-24,-0.3152693602693602,1.0,16847.755859375
2022-12-25,-0.3013291893291893,1.0,16841.986328125
2022-12-26,-0.3204751359751359,1.0,16919.8046875
2022-12-27,-0.3093198653198653,1.0,16717.173828125
2022-12-28,-0.3049330484330484,1.0,16552.572265625
2022-12-29,-0.2998888888888888,1.0,16642.341796875
2022-12-30,-0.2935982905982906,1.0,16602.5859375
2022-12-31,-0.294482905982906,1.0,16547.49609375
2023-01-01,-0.2298622981956315,0.9,16625.080078125
2023-01-02,-0.2082051282051282,0.9,16688.470703125
2023-01-03,-0.2132182774490467,0.9,16679.857421875
2023-01-04,-0.2147729194781826,0.9,16863.23828125
2023-01-05,-0.2082549707602339,0.9,16836.736328125
2023-01-06,-0.2049857849752586,0.9,16951.96875
2023-01-07,-0.2370370670265407,0.9,16955.078125
2023-01-08,-0.2473567251461988,0.9,17091.14453125
2023-01-09,-0.2532691195581547,0.9,17196.5546875
2023-01-10,-0.2721925763482781,0.9,17446.29296875
2023-01-11,-0.2210185497575848,0.9,17934.896484375
2023-01-12,-0.2259329359724096,0.9,18869.587890625
2023-01-13,-0.304678987354426,1.0,19909.57421875
2023-01-14,-0.3221937321937322,1.0,20976.298828125
2023-01-15,-0.3380009496676163,1.0,20880.798828125
2023-01-16,-0.3088717698805418,1.0,21169.6328125
2023-01-17,-0.3128318838406558,1.0,21161.51953125
2023-01-18,-0.3009779077322936,1.0,20688.78125
2023-01-19,-0.3146887339431199,1.0,21086.79296875
2023-01-20,-0.3386459989003849,1.0,22676.552734375
2023-01-21,-0.3590004748338082,1.0,22777.625
2023-01-22,-0.3590004748338082,1.0,22720.416015625
2023-01-23,-0.3609620132953466,1.0,22934.431640625
2023-01-24,-0.3378252611585945,1.0,22636.46875
2023-01-25,-0.3342996201329535,1.0,23117.859375
2023-01-26,-0.3342996201329535,1.0,23032.77734375
2023-01-27,-0.3417782526115859,1.0,23078.728515625
2023-01-28,-0.3566880341880341,1.0,23031.08984375
2023-01-29,-0.3501709401709401,1.0,23774.56640625
2023-01-30,-0.3566880341880341,1.0,22840.138671875
2023-01-31,-0.3500641025641025,1.0,23139.283203125
2023-02-01,-0.3465384615384615,1.0,23723.76953125
2023-02-02,-0.3502516619183286,1.0,23471.87109375
2023-02-03,-0.3535187684310492,1.0,23449.322265625
2023-02-04,-0.3586469735592543,1.0,23331.84765625
2023-02-05,-0.3615315889438696,1.0,22955.666015625
2023-02-06,-0.3509974009096816,1.0,22760.109375
2023-02-07,-0.3529964512420653,1.0,23264.291015625
2023-02-08,-0.3444541910331384,1.0,22939.3984375
2023-02-09,-0.3443829659619133,1.0,21819.0390625
2023-02-10,-0.3219280751736892,1.0,21651.18359375
2023-02-11,-0.3200049982506123,1.0,21870.875
2023-02-12,-0.337775403608737,1.0,21788.203125
2023-02-13,-0.3473907882241215,1.0,21808.1015625
2023-02-14,-0.314893412305693,1.0,22220.8046875
2023-02-15,-0.3191621682411156,1.0,24307.841796875
2023-02-16,-0.3191621682411156,1.0,23623.474609375
2023-02-17,-0.3234644124556405,1.0,24565.6015625
2023-02-18,-0.3400467336432249,1.0,24641.27734375
2023-02-19,-0.3438806417753786,1.0,24327.642578125
2023-02-20,-0.3455338131653921,1.0,24829.1484375
2023-02-21,-0.3558576998050682,1.0,24436.353515625
2023-02-22,-0.3478448792922477,1.0,24188.84375
2023-02-23,-0.3396587444394461,1.0,23947.4921875
2023-02-24,-0.3218449792572599,1.0,23198.126953125
2023-02-25,-0.3247295946418753,1.0,23175.375
2023-02-26,-0.3173363072924476,1.0,23561.212890625
2023-02-27,-0.3239781076623182,1.0,23522.87109375
2023-02-28,-0.327019168291098,1.0,23147.353515625
2023-03-01,-0.3323789173789174,1.0,23646.55078125
2023-03-02,-0.3171123856650172,1.0,23475.466796875
2023-03-03,-0.3283440795721498,1.0,22362.6796875
2023-03-04,-0.3273314339981006,1.0,22353.349609375
2023-03-05,-0.3263698955365622,1.0,22435.513671875
2023-03-06,-0.3142747538361574,1.0,22429.7578125
2023-03-07,-0.3034954016094366,1.0,22219.76953125
2023-03-08,-0.2988349077822761,1.0,21718.080078125
2023-03-09,-0.3037630579297246,1.0,20363.021484375
2023-03-10,-0.3048326835607537,1.0,20187.244140625
2023-03-11,-0.3290859449192782,1.0,20632.41015625
2023-03-12,-0.3193993352326685,1.0,22163.94921875
2023-03-13,-0.3132193732193732,1.0,24197.533203125
2023-03-14,-0.3164007597340931,1.0,24746.07421875
2023-03-15,-0.3412179487179487,1.0,24375.9609375
2023-03-16,-0.3473920377867747,1.0,25052.7890625
2023-03-17,-0.3505971659919029,1.0,27423.9296875
2023-03-18,-0.3710121457489879,1.0,26965.87890625
2023-03-19,-0.3747598340580797,1.0,28038.67578125
2023-03-20,-0.3755623031938822,1.0,27767.236328125
2023-03-21,-0.3798548008197131,1.0,28175.81640625
2023-03-22,-0.3773477033038437,1.0,27307.4375
2023-03-23,-0.3766441745389113,1.0,28333.97265625
2023-03-24,-0.3771380016994052,1.0,27493.28515625
2023-03-25,-0.3655449342730044,1.0,27494.70703125
2023-03-26,-0.3691251811865847,1.0,27994.330078125
2023-03-27,-0.3738545259159294,1.0,27139.888671875
2023-03-28,-0.3587060778727445,1.0,27268.130859375
2023-03-29,-0.3399988753936123,1.0,28348.44140625
2023-03-30,-0.3648195631528965,1.0,28033.5625
2023-03-31,-0.3587298195631529,1.0,28478.484375
2023-04-01,-0.2882478632478633,0.9,28411.03515625
2023-04-02,-0.279155420602789,0.9,28199.30859375
2023-04-03,-0.279155420602789,0.9,27790.220703125
2023-04-04,-0.286206702654071,0.9,28168.08984375
2023-04-05,-0.2822537112010796,0.9,28177.984375
2023-04-06,-0.1321581196581196,0.7,28044.140625
2023-04-07,-0.1310897435897435,0.7,27925.859375
2023-04-08,-0.1384615384615384,0.7,27947.794921875
